size_order,label,seed,run_id,N,target_step,final_logged_step,n_loss_points,n_observed_segments,n_manifest_attempts,n_zero_data_attempts,n_crashed_segments,observed_jids,all_attempt_jids,reached_target,status_note,cross_seed_origin,cross_seed_final
0,0p2M,5,0p2M-s5,2625923,10602,10530,62,2,10,8,1,j4499062;j4507398,j4414720;j4415397;j4416091;j4417903;j4420223;j4422335;j4424797;j4499062;j4507190;j4507398,True,,,
0,0p2M,42,0p2M-s42,2625923,10602,10450,52,1,8,7,0,j4499068,j4414721;j4415398;j4416092;j4417904;j4420224;j4422336;j4424798;j4499068,True,,,
0,0p2M,137,0p2M-s137,2625923,10602,10470,58,2,10,8,1,j4499073;j4507403,j4414722;j4415399;j4416093;j4417905;j4420225;j4422337;j4424799;j4499073;j4507198;j4507403,True,,,
1,1M,5,1M-s5,3911079,18604,18490,143,2,7,5,1,j4499264;j4507408,j4415400;j4416094;j4420226;j4422338;j4499264;j4507207;j4507408,True,,,
1,1M,42,1M-s42,3911079,18604,18530,120,2,7,5,1,j4499272;j4507416,j4416095;j4420227;j4422339;j4424839;j4499272;j4507212;j4507416,True,,,
1,1M,137,1M-s137,3911079,18604,18530,132,2,7,5,1,j4499343;j4507422,j4416096;j4420228;j4422340;j4424840;j4499343;j4507219;j4507422,True,,,
2,4M,5,4M-s5,5735627,57968,57930,259,2,9,7,1,j4499345;j4508758,j4416097;j4420229;j4422341;j4424841;j4499345;j4507223;j4507437;j4508654;j4508758,True,,,
2,4M,42,4M-s42,5735627,57968,57840,265,2,11,9,1,j4499348;j4514354,j4416098;j4420230;j4422342;j4424842;j4499348;j4507227;j4507442;j4508655;j4508764;j4509357;j4514354,True,,,
2,4M,137,4M-s137,5735627,57968,57930,262,2,10,8,1,j4499359;j4509660,j4416099;j4420231;j4422343;j4424843;j4499359;j4507234;j4507448;j4508656;j4508776;j4509660,True,,,
3,6M,5,6M-s5,8099567,106909,106840,556,2,10,8,1,j4499369;j4508786,j4416102;j4420234;j4422346;j4424846;j4499369;j4507256;j4507467;j4508658;j4508800;j4508786,True,cross-seed restore 137→5,137.0,5.0
3,6M,42,6M-s42,8099567,106909,106800,561,2,7,5,1,j4499364;j4507459,j4416101;j4420233;j4422345;j4424845;j4499364;j4507247;j4507459,True,,,
3,6M,137,6M-s137,8099567,106909,106740,552,2,9,7,1,j4499362;j4509365,j4416100;j4420232;j4422344;j4424844;j4499362;j4507240;j4507453;j4508657;j4509365,True,cross-seed restore 5→137,5.0,137.0
4,10M,5,10M-s5,11002899,84335,84200,546,2,7,5,1,j4499372;j4507471,j4416103;j4420235;j4422347;j4424847;j4499372;j4507261;j4507471,True,,,
4,10M,42,10M-s42,11002899,84335,84310,544,2,6,4,1,j4499377;j4507579,j4416104;j4420236;j4422348;j4499377;j4507265;j4507579,True,,,
4,10M,137,10M-s137,11002899,84335,84320,543,2,7,5,1,j4499378;j4510112,j4416105;j4420237;j4422349;j4424849;j4499378;j4508816;j4510112,True,,,
5,14M,5,14M-s5,14445623,74486,74440,537,2,5,3,1,j4499380;j4507584,j4420238;j4422350;j4424850;j4499380;j4507584,True,,,
5,14M,42,14M-s42,14445623,74486,74370,522,2,6,4,1,j4499394;j4508823,j4420239;j4422351;j4424851;j4499394;j4508667;j4508823,True,,,
5,14M,137,14M-s137,14445623,74486,74410,534,3,7,4,2,j4499407;j4508836;j4510296,j4420240;j4422352;j4424852;j4499407;j4508668;j4508836;j4510296,True,,,
6,23M,5,23M-s5,22949247,93989,93790,460,2,5,3,1,j4499408;j4508846,j4420241;j4422353;j4499408;j4508673;j4508846,True,,,
6,23M,137,23M-s137,22949247,93989,93800,457,1,4,3,0,j4508675,j4420243;j4422356;j4424855;j4508675,True,,,
7,46M,5,46M-s5,46429199,63407,53970,406,1,6,5,0,j4508676,j4420244;j4422357;j4424856;j4498646;j4508676;j4514373,False,timeout at step 53970; resume attempt j4514373 has no loss rows,,
7,46M,42,46M-s42,46429199,63407,63320,511,2,5,3,0,j4508677;j4514385,j4420245;j4422358;j4424857;j4508677;j4514385,True,,,
7,46M,137,46M-s137,46429199,63407,63370,460,2,5,3,0,j4508678;j4514395,j4420246;j4422359;j4424858;j4508678;j4514395,True,,,
8,78M,5,78M-s5,78539423,28728,28710,290,1,3,2,0,j4499538,j4420247;j4422360;j4499538,True,,,
8,78M,42,78M-s42,78539423,28728,28720,292,1,4,3,0,j4499539,j4420248;j4422361;j4424860;j4499539,True,,,
8,78M,137,78M-s137,78539423,28728,28710,291,1,3,2,0,j4499540,j4420249;j4424861;j4499540,True,,,
9,120M,5,120M-s5,119279919,29959,29940,201,1,3,2,0,j4499541,j4420250;j4424862;j4499541,True,,,
9,120M,42,120M-s42,119279919,29959,29860,202,1,1,0,0,j4499542,j4499542,True,,,
9,120M,137,120M-s137,119279919,29959,29880,200,1,3,2,0,j4499543,j4420252;j4424864;j4499543,True,,,
10,200M,5,200M-s5,196572423,16210,16160,103,1,2,1,0,j4499578,j4424865;j4499578,True,,,
10,200M,42,200M-s42,196572423,16210,16120,104,1,1,0,0,j4499579,j4499579,True,,,
11,350M,5,350M-s5,293283039,10670,10590,89,1,1,0,0,j4499580,j4499580,True,,,
11,350M,42,350M-s42,293283039,10670,10590,89,1,1,0,0,j4499581,j4499581,True,,,
