size_order,label,seed,run_id,attempt_rank,jid,has_loss_data,wandb_run_id,wandb_state,n_points,step_min,step_max
0,0p2M,5,0p2M-s5,0,j4414720,False,,,0,,
0,0p2M,5,0p2M-s5,1,j4415397,False,,,0,,
0,0p2M,5,0p2M-s5,2,j4416091,False,,,0,,
0,0p2M,5,0p2M-s5,3,j4417903,False,,,0,,
0,0p2M,5,0p2M-s5,4,j4420223,False,,,0,,
0,0p2M,5,0p2M-s5,5,j4422335,False,,,0,,
0,0p2M,5,0p2M-s5,6,j4424797,False,,,0,,
0,0p2M,5,0p2M-s5,7,j4499062,True,b6hzllea,crashed,50,1130.0,9040.0
0,0p2M,5,0p2M-s5,8,j4507190,False,,,0,,
0,0p2M,5,0p2M-s5,9,j4507398,True,viq1l1h6,finished,12,8610.0,10530.0
0,0p2M,42,0p2M-s42,0,j4414721,False,,,0,,
0,0p2M,42,0p2M-s42,1,j4415398,False,,,0,,
0,0p2M,42,0p2M-s42,2,j4416092,False,,,0,,
0,0p2M,42,0p2M-s42,3,j4417904,False,,,0,,
0,0p2M,42,0p2M-s42,4,j4420224,False,,,0,,
0,0p2M,42,0p2M-s42,5,j4422336,False,,,0,,
0,0p2M,42,0p2M-s42,6,j4424798,False,,,0,,
0,0p2M,42,0p2M-s42,7,j4499068,True,9itlcx0n,finished,52,1060.0,10450.0
0,0p2M,137,0p2M-s137,0,j4414722,False,,,0,,
0,0p2M,137,0p2M-s137,1,j4415399,False,,,0,,
0,0p2M,137,0p2M-s137,2,j4416093,False,,,0,,
0,0p2M,137,0p2M-s137,3,j4417905,False,,,0,,
0,0p2M,137,0p2M-s137,4,j4420225,False,,,0,,
0,0p2M,137,0p2M-s137,5,j4422337,False,,,0,,
0,0p2M,137,0p2M-s137,6,j4424799,False,,,0,,
0,0p2M,137,0p2M-s137,7,j4499073,True,1txg2mng,crashed,52,1020.0,10280.0
0,0p2M,137,0p2M-s137,8,j4507198,False,,,0,,
0,0p2M,137,0p2M-s137,9,j4507403,True,4ypok8xs,finished,6,9610.0,10470.0
1,1M,5,1M-s5,0,j4415400,False,,,0,,
1,1M,5,1M-s5,1,j4416094,False,,,0,,
1,1M,5,1M-s5,2,j4420226,False,,,0,,
1,1M,5,1M-s5,3,j4422338,False,,,0,,
1,1M,5,1M-s5,4,j4499264,True,i2xv0x67,crashed,109,1010.0,13230.0
1,1M,5,1M-s5,5,j4507207,False,,,0,,
1,1M,5,1M-s5,6,j4507408,True,9e77rm1m,finished,34,13380.0,18490.0
1,1M,42,1M-s42,0,j4416095,False,,,0,,
1,1M,42,1M-s42,1,j4420227,False,,,0,,
1,1M,42,1M-s42,2,j4422339,False,,,0,,
1,1M,42,1M-s42,3,j4424839,False,,,0,,
1,1M,42,1M-s42,4,j4499272,True,3e4ocoih,crashed,110,1040.0,17280.0
1,1M,42,1M-s42,5,j4507212,False,,,0,,
1,1M,42,1M-s42,6,j4507416,True,gurk6ie4,finished,10,17160.0,18530.0
1,1M,137,1M-s137,0,j4416096,False,,,0,,
1,1M,137,1M-s137,1,j4420228,False,,,0,,
1,1M,137,1M-s137,2,j4422340,False,,,0,,
1,1M,137,1M-s137,3,j4424840,False,,,0,,
1,1M,137,1M-s137,4,j4499343,True,603k8e1b,crashed,111,1030.0,15990.0
1,1M,137,1M-s137,5,j4507219,False,,,0,,
1,1M,137,1M-s137,6,j4507422,True,ynkzaefa,finished,21,15560.0,18530.0
2,4M,5,4M-s5,0,j4416097,False,,,0,,
2,4M,5,4M-s5,1,j4420229,False,,,0,,
2,4M,5,4M-s5,2,j4422341,False,,,0,,
2,4M,5,4M-s5,3,j4424841,False,,,0,,
2,4M,5,4M-s5,4,j4499345,True,xqjrw636,crashed,172,1120.0,39640.0
2,4M,5,4M-s5,5,j4507223,False,,,0,,
2,4M,5,4M-s5,6,j4507437,False,,,0,,
