size_order,label,seed,run_id,observed_segment_rank,attempt_rank,jid,wandb_run_id,wandb_state,segment_role,n_points,step_min,step_max,loss_first,loss_last,target_step,cross_seed_restore
0,0p2M,5,0p2M-s5,0,7,j4499062,b6hzllea,crashed,crashed_pre_resume,50,1130,9040,1.1609165668487549,0.8799633979797363,10602,False
0,0p2M,5,0p2M-s5,1,9,j4507398,viq1l1h6,finished,final,12,8610,10530,0.898127019405365,0.8573924899101257,10602,False
0,0p2M,42,0p2M-s42,0,7,j4499068,9itlcx0n,finished,final,52,1060,10450,1.318675875663757,0.958844006061554,10602,False
0,0p2M,137,0p2M-s137,0,7,j4499073,1txg2mng,crashed,crashed_pre_resume,52,1020,10280,1.210007905960083,0.8686953783035278,10602,False
0,0p2M,137,0p2M-s137,1,9,j4507403,4ypok8xs,finished,final,6,9610,10470,0.8638986945152283,0.8630966544151306,10602,False
1,1M,5,1M-s5,0,4,j4499264,i2xv0x67,crashed,crashed_pre_resume,109,1010,13230,1.0537880659103394,0.6802979707717896,18604,False
1,1M,5,1M-s5,1,6,j4507408,9e77rm1m,finished,final,34,13380,18490,0.6808671355247498,0.6564731001853943,18604,False
1,1M,42,1M-s42,0,4,j4499272,3e4ocoih,crashed,crashed_pre_resume,110,1040,17280,1.0418375730514526,0.6666198372840881,18604,False
1,1M,42,1M-s42,1,6,j4507416,gurk6ie4,finished,final,10,17160,18530,0.6809931993484497,0.6779944896697998,18604,False
1,1M,137,1M-s137,0,4,j4499343,603k8e1b,crashed,crashed_pre_resume,111,1030,15990,1.0687283277511597,0.6742756962776184,18604,False
1,1M,137,1M-s137,1,6,j4507422,ynkzaefa,finished,final,21,15560,18530,0.6714154481887817,0.666737973690033,18604,False
2,4M,5,4M-s5,0,4,j4499345,xqjrw636,crashed,crashed_pre_resume,172,1120,39640,0.9828365445137024,0.6305458545684814,57968,False
2,4M,5,4M-s5,1,8,j4508758,kyipkqnz,finished,final,87,38740,57930,0.6285271048545837,0.620191216468811,57968,False
2,4M,42,4M-s42,0,4,j4499348,q2by04nw,crashed,crashed_pre_resume,172,1130,38220,0.9212671518325806,0.5940770506858826,57968,False
2,4M,42,4M-s42,1,10,j4514354,v6u2djih,finished,final,93,37380,57840,0.6081869006156921,0.6158913373947144,57968,False
2,4M,137,4M-s137,0,4,j4499359,2k9nv24i,crashed,crashed_pre_resume,172,1130,38560,0.9533159136772156,0.6015045046806335,57968,False
2,4M,137,4M-s137,1,9,j4509660,fggw1lql,finished,final,90,37690,57930,0.6295145153999329,0.6155371069908142,57968,False
3,6M,5,6M-s5,0,4,j4499369,alyn9rxc,crashed,crashed_pre_resume,351,1000,66980,1.119888186454773,0.5941800475120544,106909,True
3,6M,5,6M-s5,1,9,j4508786,yuj9evnv,finished,final,205,66590,106840,0.580828845500946,0.5904163122177124,106909,True
3,6M,42,6M-s42,0,4,j4499364,01co8tcb,crashed,crashed_pre_resume,350,1010,66180,1.0233699083328247,0.6038666367530823,106909,False
3,6M,42,6M-s42,1,6,j4507459,it0uggeo,finished,final,211,65980,106800,0.6005958318710327,0.5907338261604309,106909,False
3,6M,137,6M-s137,0,4,j4499362,6fnrblfy,crashed,crashed_pre_resume,349,1190,67160,0.9601250886917114,0.5723583102226257,106909,True
3,6M,137,6M-s137,1,8,j4509365,c1rgccd9,finished,final,203,66920,106740,0.6125072836875916,0.5873703956604004,106909,True
4,10M,5,10M-s5,0,4,j4499372,w0cvc0sn,crashed,crashed_pre_resume,348,1130,54370,0.8448410034179688,0.5945463180541992,84335,False
4,10M,5,10M-s5,1,6,j4507471,w7onfwwq,finished,final,198,54320,84200,0.5741270780563354,0.5678909420967102,84335,False
4,10M,42,10M-s42,0,3,j4499377,unnxqc4v,crashed,crashed_pre_resume,236,1030,37400,0.9086977243423462,0.5900602340698242,84335,False
4,10M,42,10M-s42,1,5,j4507579,u5yg7cih,finished,final,308,36380,84310,0.588563859462738,0.572551965713501,84335,False
4,10M,137,10M-s137,0,4,j4499378,9o13kj41,crashed,crashed_pre_resume,349,1110,54330,0.887913167476654,0.5839053988456726,84335,False
4,10M,137,10M-s137,1,6,j4510112,26xeayf3,finished,final,194,54280,84320,0.5746800303459167,0.5842046737670898,84335,False
5,14M,5,14M-s5,0,3,j4499380,8idsevip,crashed,crashed_pre_resume,159,1050,22720,0.8511781096458435,0.5986272096633911,74486,False
5,14M,5,14M-s5,1,4,j4507584,tri6p9y2,finished,final,378,22010,74440,0.5690714120864868,0.5699707865715027,74486,False
5,14M,42,14M-s42,0,3,j4499394,yujtep7v,crashed,crashed_pre_resume,348,1020,49970,0.9071545004844666,0.5634276270866394,74486,False
5,14M,42,14M-s42,1,5,j4508823,mhaiily7,finished,final,174,50010,74370,0.5868503451347351,0.5660362243652344,74486,False
5,14M,137,14M-s137,0,3,j4499407,cdexu3at,crashed,crashed_pre_resume,349,1050,49540,0.8791638612747192,0.5816013813018799,74486,False
5,14M,137,14M-s137,1,5,j4508836,baqhtzle,crashed,crashed_pre_resume,40,49660,55210,0.5794839262962341,0.5683455467224121,74486,False
5,14M,137,14M-s137,2,6,j4510296,8jz1l24q,finished,final,145,54380,74410,0.5813701748847961,0.580022931098938,74486,False
6,23M,5,23M-s5,0,2,j4499408,culy6048,crashed,crashed_pre_resume,350,1020,72020,0.9308862686157228,0.5607500076293945,93989,False
6,23M,5,23M-s5,1,4,j4508846,sr0txhxx,finished,final,110,71560,93790,0.560207188129425,0.5805504322052002,93989,False
6,23M,137,23M-s137,0,3,j4508675,mkfwf4td,finished,final,457,1160,93800,0.8394783139228821,0.5717917680740356,93989,False
7,46M,5,46M-s5,0,4,j4508676,w3awke96,finished,timeout_final,406,1090,53970,0.7866120338439941,0.5525116920471191,63407,False
7,46M,42,46M-s42,0,3,j4508677,28bcfloa,finished,interrupted_pre_resume,408,1030,55460,0.8121185302734375,0.5577762722969055,63407,False
7,46M,42,46M-s42,1,4,j4514385,sdhc3zqy,finished,final,103,49700,63320,0.5495163202285767,0.5546844601631165,63407,False
7,46M,137,46M-s137,0,3,j4508678,jm7ls6ao,finished,interrupted_pre_resume,407,1010,55280,0.8574972152709961,0.5625069737434387,63407,False
7,46M,137,46M-s137,1,4,j4514395,3468722o,finished,final,53,56370,63370,0.5651410222053528,0.5543351769447327,63407,False
8,78M,5,78M-s5,0,2,j4499538,5vu8avcx,finished,final,290,1010,28710,0.7107973098754883,0.5754914283752441,28728,False
8,78M,42,78M-s42,0,3,j4499539,yyguxjwv,finished,final,292,1000,28720,0.8130812048912048,0.5612345933914185,28728,False
8,78M,137,78M-s137,0,2,j4499540,46lnqrsi,finished,final,291,1070,28710,0.7768744826316833,0.5609267354011536,28728,False
9,120M,5,120M-s5,0,2,j4499541,8mq3q1y8,finished,final,201,1080,29940,0.7920598983764648,0.5626823306083679,29959,False
9,120M,42,120M-s42,0,0,j4499542,h36erlbq,finished,final,202,1080,29860,0.7519232034683228,0.5553392767906189,29959,False
9,120M,137,120M-s137,0,2,j4499543,0qyrbrua,finished,final,200,1090,29880,0.7573373317718506,0.524527370929718,29959,False
10,200M,5,200M-s5,0,1,j4499578,mfbok49j,finished,final,103,1110,16160,0.7914320826530457,0.5633571743965149,16210,False
10,200M,42,200M-s42,0,0,j4499579,aumzdbuh,finished,final,104,1080,16120,0.7675763964653015,0.5460473895072937,16210,False
11,350M,5,350M-s5,0,0,j4499580,j8cfcraa,finished,final,89,1040,10590,0.7711002230644226,0.5962994694709778,10670,False
11,350M,42,350M-s42,0,0,j4499581,ofa15p6s,finished,final,89,1080,10590,0.7483636736869812,0.5472316741943359,10670,False
