label,seed,run_id,source_jids,n_checkpoints,first_step,final_step,target_step,N,D_first,D_final,L_first,L_min,L_final,n_tickers,source,endpoint_step,endpoint_D,endpoint_L,endpoint_protocol,reached_target,D_first_B,D_final_B,endpoint_D_B,standalone_plot
0p2M,5,0p2M-s5,4507398,3,7600,10610,10602,2625923,12646400000,17655040000,0.9300743957992942,0.9097098565566712,0.9097098565566712,487,test_ce_sp500_jan2026,10610,17655040000,0.9097098565566712,endpoint,True,12.6464,17.65504,17.65504,runs/01_0p2M-s5.png
0p2M,42,0p2M-s42,4499068,5,570,10610,10602,2625923,948480000,17655040000,1.5664067496019711,0.9682128314364862,0.9682128314364862,487,test_ce_sp500_jan2026,10610,17655040000,0.9682128314364862,endpoint,True,0.94848,17.65504,17.65504,runs/01_0p2M-s42.png
0p2M,137,0p2M-s137,4507403,3,8610,10610,10602,2625923,14327040000,17655040000,0.8891269673557007,0.8861382055943506,0.8861382055943506,487,test_ce_sp500_jan2026,10610,17655040000,0.8861382055943506,endpoint,True,14.32704,17.65504,17.65504,runs/01_0p2M-s137.png
1M,5,1M-s5,4507408,5,12370,18610,18604,3911079,20583680000,30967040000,0.7060864869757599,0.6918098820063613,0.6918098820063613,487,test_ce_sp500_jan2026,18610,30967040000,0.6918098820063613,endpoint,True,20.58368,30.96704,30.96704,runs/02_1M-s5.png
1M,42,1M-s42,4507416,3,16010,18610,18604,3911079,26640640000,30967040000,0.6987272371868822,0.6987272371868822,0.6992951777191867,487,test_ce_sp500_jan2026,18610,30967040000,0.6992951777191867,endpoint,True,26.64064,30.96704,30.96704,runs/02_1M-s42.png
1M,137,1M-s137,4507422,4,14550,18610,18604,3911079,24211200000,30967040000,0.693888851290366,0.6903805356373287,0.6903805356373287,487,test_ce_sp500_jan2026,18610,30967040000,0.6903805356373287,endpoint,True,24.2112,30.96704,30.96704,runs/02_1M-s137.png
4M,5,4M-s5,4508758,8,37670,57970,57968,5735627,62682880000,96462080000,0.6332773321157119,0.6271298637257954,0.6271298637257954,487,test_ce_sp500_jan2026,57970,96462080000,0.6271298637257954,endpoint,True,62.68288,96.46208,96.46208,runs/03_4M-s5.png
4M,42,4M-s42,4514354,9,36310,57970,57968,5735627,60419840000,96462080000,0.6080701288746123,0.6040364235823159,0.6040364235823159,487,test_ce_sp500_jan2026,57970,96462080000,0.6040364235823159,endpoint,True,60.41984,96.46208,96.46208,runs/03_4M-s42.png
4M,137,4M-s137,4509660,9,36630,57970,57968,5735627,60952320000,96462080000,0.6208087547970993,0.6116693604286202,0.6116693604286202,487,test_ce_sp500_jan2026,57970,96462080000,0.6116693604286202,endpoint,True,60.95232,96.46208,96.46208,runs/03_4M-s137.png
6M,5,6M-s5,4501060;4506444;4508786,20,420,106910,106909,8099567,698880000,177898240000,2.8390629176486444,0.585814295424573,0.585814295424573,487,gap_fill_pred4501060,106910,177898240000,0.585814295424573,endpoint,True,0.69888,177.89824,177.89824,runs/04_6M-s5.png
6M,42,6M-s42,4507459,10,64830,106910,106909,8099567,107877120000,177898240000,0.5960628904356359,0.5871914937878047,0.5871914937878047,487,test_ce_sp500_jan2026,106910,177898240000,0.5871914937878047,endpoint,True,107.87712,177.89824,177.89824,runs/04_6M-s42.png
6M,137,6M-s137,4499369;4509365,15,400,106910,106909,8099567,665600000,177898240000,2.436770060223965,0.581242824604379,0.581242824604379,487,gap_fill_pred4499369,106910,177898240000,0.581242824604379,endpoint,True,0.6656,177.89824,177.89824,runs/04_6M-s137.png
10M,5,10M-s5,4507471,10,53250,84340,84335,11002899,88608000000,140341760000,0.5942505552783395,0.5868647708662726,0.5868647708662726,487,test_ce_sp500_jan2026,84340,140341760000,0.5868647708662726,endpoint,True,88.608,140.34176,140.34176,runs/05_10M-s5.png
10M,42,10M-s42,4507579,10,35320,84340,84335,11002899,58772480000,140341760000,0.6112525925743996,0.5941753615099302,0.5941753615099302,487,test_ce_sp500_jan2026,84340,140341760000,0.5941753615099302,endpoint,True,58.77248,140.34176,140.34176,runs/05_10M-s42.png
10M,137,10M-s137,4499378;4510112,15,550,84340,84335,11002899,915200000,140341760000,1.4328430073461984,0.5878065197252395,0.5878065197252395,487,gap_fill_pred4499378,84340,140341760000,0.5878065197252395,endpoint,True,0.9152,140.34176,140.34176,runs/05_10M-s137.png
14M,5,14M-s5,4507584,10,20900,74490,74486,14445623,34777600000,123951360000,0.6120432772553187,0.5859867309275594,0.5859867309275594,487,test_ce_sp500_jan2026,74490,123951360000,0.5859867309275594,endpoint,True,34.7776,123.95136,123.95136,runs/06_14M-s5.png
14M,42,14M-s42,4508823,10,48920,74490,74486,14445623,81402880000,123951360000,0.5903403212524783,0.5836863743573488,0.5836863743573488,487,test_ce_sp500_jan2026,74490,123951360000,0.5836863743573488,endpoint,True,81.40288,123.95136,123.95136,runs/06_14M-s42.png
14M,137,14M-s137,4499407;4510296,15,490,74490,74486,14445623,815360000,123951360000,1.5839335630806564,0.5819842693619659,0.5819842693619659,487,gap_fill_pred4499407,74490,123951360000,0.5819842693619659,endpoint,True,0.81536,123.95136,123.95136,runs/06_14M-s137.png
23M,5,23M-s5,4508846,10,70550,93990,93989,22949247,117395200000,156399360000,0.5712447837760072,0.5675970128062324,0.5675970128062324,487,test_ce_sp500_jan2026,93990,156399360000,0.5675970128062324,endpoint,True,117.3952,156.39936,156.39936,runs/07_23M-s5.png
23M,137,23M-s137,4508675,8,740,93990,93989,22949247,1231360000,156399360000,1.130615910098293,0.5668705403192822,0.5668705403192822,487,test_ce_sp500_jan2026,93990,156399360000,0.5668705403192822,endpoint,True,1.23136,156.39936,156.39936,runs/07_23M-s137.png
46M,5,46M-s5,4508676,7,250,53970,63407,46429199,416000000,89806080000,2.4877668430673023,0.5694092610043912,0.5694092610043912,487,test_ce_sp500_jan2026,53970,89806080000,0.5694092610043912,endpoint,False,0.416,89.80608,89.80608,runs/08_46M-s5.png
46M,42,46M-s42,4508677;4514385,14,320,63410,63407,46429199,532480000,105514240000,2.061191214917866,0.5706282934858569,0.5706516315192902,487,gap_fill_pred4508677,63410,105514240000,0.5706516315192902,endpoint,True,0.53248,105.51424,105.51424,runs/08_46M-s42.png
46M,137,46M-s137,4514395,6,55280,63410,63407,46429199,91985920000,105514240000,0.57459276076215,0.5732140921714125,0.5732140921714125,487,test_ce_sp500_jan2026,63410,105514240000,0.5732140921714125,endpoint,True,91.98592,105.51424,105.51424,runs/08_46M-s137.png
